,Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
294,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,6,40000,27000.0
295,Chevrolet,Sonic,occasion,Essence,Manuelle,5.0,6,5833,34000.0
296,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,3,15166,42000.0
297,Chevrolet,Sonic,occasion,Essence,Automatique,5.0,2,55325,43000.0
298,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,12,13333,20000.0
299,Chevrolet,Aveo,occasion,Essence,Manuelle,6.0,15,7376,18500.0
300,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,14,7903,28000.0
301,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,14,13714,21000.0
302,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,13,23923,19000.0
303,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,12,19450,20000.0
304,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,12,17500,20500.0
305,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,11,13636,28000.0
306,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,11,45454,21000.0
307,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,10,21600,30000.0
308,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,10,12100,25000.0
309,Chevrolet,Aveo,occasion,Diesel,Manuelle,5.0,7,34571,24000.0
310,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,7,17428,24700.0
311,Chevrolet,Captiva,occasion,Essence,Automatique,9.0,0,0,40000.0
312,Chevrolet,Captiva,occasion,Essence,Automatique,9.0,2,55325,84000.0
313,Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,12,9220,24500.0
314,Chevrolet,Cruze,occasion,Essence,Manuelle,4.0,12,12500,30000.0
315,Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,12,6300,32000.0
316,Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,11,17454,27000.0
317,Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,6,20833,36900.0
318,Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,6,20416,37900.0
319,Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,6,18441,38000.0
320,Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,6,15833,38000.0
321,Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,5,29000,40000.0
322,Chevrolet,Lacetti,occasion,Essence,Manuelle,6.0,19,5263,10000.0
323,Chevrolet,Matiz,occasion,Essence,Manuelle,4.0,15,7376,10000.0
324,Chevrolet,Spark,occasion,Essence,Manuelle,4.0,13,8511,21900.0
325,Chevrolet,Spark,occasion,Essence,Manuelle,5.0,12,9220,23000.0
326,Chevrolet,Spark,occasion,Essence,Manuelle,5.0,8,13831,25900.0
327,Chevrolet,Spark,occasion,Essence,Manuelle,5.0,7,10357,33000.0
328,Chevrolet,Trax,occasion,Essence,Automatique,8.0,6,18441,57000.0
329,Chevrolet,Trax,occasion,Essence,Manuelle,8.0,5,14200,58000.0
330,Citroen,Xsara,occasion,Essence,Manuelle,6.0,35,3485,13000.0
331,Citroen,Xsara,occasion,Diesel,Manuelle,6.0,24,16666,15000.0
332,Citroen,Jumper,occasion,Diesel,Manuelle,7.0,17,14705,21000.0
333,Citroen,Nemo,occasion,Diesel,Manuelle,6.0,11,16860,21500.0
334,Citroen,Nemo,occasion,Diesel,Manuelle,6.0,10,12198,22500.0
335,Citroen,C3,occasion,Diesel,Manuelle,6.0,10,25000,19500.0
336,Citroen,C4,occasion,Essence,Manuelle,5.0,9,19444,36000.0
337,Citroen,Nemo,occasion,Diesel,Manuelle,5.0,8,17750,23000.0
338,Citroen,Nemo,occasion,Diesel,Manuelle,6.0,7,22571,26000.0
339,Citroen,Jumper,occasion,Diesel,Manuelle,8.0,3,41666,65000.0
340,Citroen,Ax,occasion,Essence,Manuelle,5.0,32,3858,5500.0
341,Citroen,Ax,occasion,Essence,Manuelle,4.0,32,3812,7500.0
342,Citroen,Ax,occasion,Essence,Manuelle,4.0,31,3935,8500.0
343,Citroen,Ax,occasion,Essence,Manuelle,4.0,29,8620,7500.0
344,Citroen,Ax,occasion,Essence,Manuelle,4.0,29,4206,5500.0
345,Citroen,Ax,occasion,Essence,Manuelle,4.0,28,14464,8500.0
346,Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,13,9383,18500.0
347,Citroen,Berlingo,occasion,Diesel,Manuelle,4.0,4,42250,47500.0
348,Citroen,Berlingo,occasion,Diesel,Automatique,7.0,4,45000,111000.0
349,Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,2,55000,55000.0
350,Citroen,Berlingo,occasion,Diesel,Manuelle,6.0,1,21000,30000.0
351,Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,25,4879,14500.0
352,Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,23,12695,123000.0
353,Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,20,6099,15000.0
