Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,12,9220,24500
Chevrolet,Cruze,occasion,Essence,Manuelle,4.0,12,12500,30000
Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,12,6300,32000
Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,11,17454,27000
Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,6,20833,36900
Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,6,20416,37900
Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,6,18441,38000
Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,6,15833,38000
Chevrolet,Cruze,occasion,Essence,Manuelle,7.0,5,29000,40000
Chevrolet,Lacetti,occasion,Essence,Manuelle,6.0,19,5263,10000
Chevrolet,Matiz,occasion,Essence,Manuelle,4.0,15,7376,10000
Chevrolet,Spark,occasion,Essence,Manuelle,4.0,13,8511,21900
Chevrolet,Spark,occasion,Essence,Manuelle,5.0,12,9220,23000
Chevrolet,Spark,occasion,Essence,Manuelle,5.0,8,13831,25900
Chevrolet,Spark,occasion,Essence,Manuelle,5.0,7,10357,33000
Chevrolet,Trax,occasion,Essence,Automatique,8.0,6,18441,57000
Chevrolet,Trax,occasion,Essence,Manuelle,8.0,5,14200,58000
Citroen,Xsara,occasion,Essence,Manuelle,6.0,35,3485,13000
Citroen,Xsara,occasion,Diesel,Manuelle,6.0,24,16666,15000
Citroen,Jumper,occasion,Diesel,Manuelle,7.0,17,14705,21000
Citroen,Nemo,occasion,Diesel,Manuelle,6.0,11,16860,21500
Citroen,Nemo,occasion,Diesel,Manuelle,6.0,10,12198,22500
Citroen,C3,occasion,Diesel,Manuelle,6.0,10,25000,19500
Citroen,C4,occasion,Essence,Manuelle,5.0,9,19444,36000
Citroen,Nemo,occasion,Diesel,Manuelle,5.0,8,17750,23000
Citroen,Nemo,occasion,Diesel,Manuelle,6.0,7,22571,26000
Citroen,Jumper,occasion,Diesel,Manuelle,8.0,3,41666,65000
Citroen,Ax,occasion,Essence,Manuelle,5.0,32,3858,5500
Citroen,Ax,occasion,Essence,Manuelle,4.0,32,3812,7500
Citroen,Ax,occasion,Essence,Manuelle,4.0,31,3935,8500
Citroen,Ax,occasion,Essence,Manuelle,4.0,29,8620,7500
Citroen,Ax,occasion,Essence,Manuelle,4.0,29,4206,5500
Citroen,Ax,occasion,Essence,Manuelle,4.0,28,14464,8500
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,13,9383,18500
Citroen,Berlingo,occasion,Diesel,Manuelle,4.0,4,42250,47500
Citroen,Berlingo,occasion,Diesel,Automatique,7.0,4,45000,111000
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,2,55000,55000
Citroen,Berlingo,occasion,Diesel,Manuelle,6.0,1,21000,30000
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,25,4879,14500
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,23,12695,123000
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,20,6099,15000
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,19,6420,17000
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,17,7175,17000
